fund_code,fund_family_id,share_class,underlying_id,underlying_name,benchmark,asset_class,asset_sleeve,mapping_source,mapping_confidence,effective_from,effective_to,review_status,source_url,reviewer
002610,BOSI,A,GOLD,黄金ETF,黄金现货价格,commodity,GOLD,fund_company_disclosure,HIGH,2017-03-21,,APPROVED,https://fundf10.eastmoney.com/jjfl_002610.html,system
021778,Guangfa,F,NASDAQ,纳斯达克100,纳斯达克100指数,overseas_equity,NASDAQ,fund_company_disclosure,HIGH,2024-10-31,,APPROVED,https://fundf10.eastmoney.com/jjfl_021778.html,system
040046,HUA_AN,A,NASDAQ,纳斯达克100,纳斯达克100指数,overseas_equity,NASDAQ,fund_company_disclosure,HIGH,2010-05-27,,APPROVED,https://fundf10.eastmoney.com/jjfl_040046.html,system
050025,BOSI,A,SP500,标普500,标普500指数,overseas_equity,SP500,fund_company_disclosure,HIGH,2009-12-04,,APPROVED,https://fundf10.eastmoney.com/jjfl_050025.html,system
013425,BOSI,A,SP500,标普500,标普500指数,overseas_equity,SP500,fund_company_disclosure,HIGH,2022-03-11,,APPROVED,https://fundf10.eastmoney.com/jjfl_013425.html,system
000071,HUA_XIA,A,HANGSENG,恒生指数,恒生指数,overseas_equity,HANGSENG,fund_company_disclosure,HIGH,2013-06-27,,APPROVED,https://fundf10.eastmoney.com/jjfl_000071.html,system
000948,HUA_XIA,A,HANGSENG,恒生指数,恒生指数/沪港通恒生,overseas_equity,HANGSENG,fund_company_disclosure,HIGH,2015-03-26,,APPROVED,https://fundf10.eastmoney.com/jjfl_000948.html,system
260102,INSCWIN,A,MONEY_MARKET,货币市场,活期存款利率,money_market,MONEY_MARKET,fund_company_disclosure,HIGH,2005-11-04,,APPROVED,https://fundf10.eastmoney.com/jjfl_260102.html,system
040003,HUA_AN,A,MONEY_MARKET,货币市场,活期存款利率,money_market,MONEY_MARKET,fund_company_disclosure,HIGH,2003-12-15,,APPROVED,https://fundf10.eastmoney.com/jjfl_040003.html,system
217004,ZHAO_SHANG,A,MONEY_MARKET,货币市场,活期存款利率,money_market,MONEY_MARKET,fund_company_disclosure,HIGH,2005-09-05,,APPROVED,https://fundf10.eastmoney.com/jjfl_217004.html,system
050003,BOSI,A,MONEY_MARKET,货币市场,活期存款利率,money_market,MONEY_MARKET,fund_company_disclosure,HIGH,2009-05-28,,APPROVED,https://fundf10.eastmoney.com/jjfl_050003.html,system
202301,NANFANG,A,MONEY_MARKET,货币市场,活期存款利率,money_market,MONEY_MARKET,fund_company_disclosure,HIGH,2004-12-23,,APPROVED,https://www.nffund.com/main/jjcp/fundproduct/202301.shtml,system
014430,NANFANG,A,CD_NCD,同业存单AAA,中证同业存单AAA指数,short_term_debt,CD_NCD,fund_company_disclosure,HIGH,2021-11-09,,APPROVED,https://fundf10.eastmoney.com/jjfl_014430.html,system
018613,CHUANG_JIN_HE_XIN,A,CD_NCD,同业存单AAA,中证同业存单AAA指数,short_term_debt,CD_NCD,fund_company_disclosure,HIGH,2022-12-09,,APPROVED,https://fundf10.eastmoney.com/jjfl_018613.html,system
018809,ZHONGZHENG,A,CD_NCD,同业存单AAA,中证同业存单AAA指数,short_term_debt,CD_NCD,fund_company_disclosure,HIGH,2022-12-20,,APPROVED,https://fundf10.eastmoney.com/jjfl_018809.html,system
006663,YI_FANG_DA,C,ULTRA_SHORT_BOND,超短债,中债总指数(1年以下),short_term_bond,ULTRA_SHORT_BOND,fund_company_disclosure,HIGH,2018-09-21,,APPROVED,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E5%AE%89%E6%82%A6%E8%B6%85%E7%9F%AD%E5%80%BA,system
001512,YI_FANG_DA,A,GOV_BOND_3_5Y,中债3-5年国开,中债-国债3-5年总指数,gov_bond,GOV_BOND_3_5Y,fund_company_disclosure,HIGH,2015-09-24,,APPROVED,https://cdn.efunds.com.cn/owch/data/bulletin/20260212/%E6%98%93%E6%96%B9%E8%BE%BE%E4%B8%AD%E5%80%BA3-5%E5%B9%B4%E6%9C%9F%E5%9B%BD%E5%80%BA,system
005839,CHUANG_JIN_HE_XIN,C,GOV_BOND_1_3Y,中债1-3年政金债,中债-1-3年政策性金融债总指数,gov_bond,GOV_BOND_1_3Y,fund_company_disclosure,HIGH,2018-06-15,,APPROVED,https://fundf10.eastmoney.com/jjfl_005839.html,system
000148,YI_FANG_DA,C,CREDIT_BOND,高等级信用债,中债综合指数,credit_bond,CREDIT_BOND,fund_company_disclosure,HIGH,2013-09-27,,APPROVED,https://cdn.efunds.com.cn/owch/data/bulletin/20260519/%E6%98%93%E6%96%B9%E8%BE%BE%E9%AB%98%E7%AD%89%E7%BA%A7%E4%BF%A1%E7%94%A8%E5%80%BA,system
